concept,file_ids,candidate_canon_ids,verdict,reason
club (item),4001,159,reference-only,"Searched items_16x16 canon 140-230 (the weapon/tool cluster containing mace=159, axes, staffs, bows, swords). No plain wooden club/cudgel exists — Oryx's shop-grade weapon set skips primitive blunt clubs entirely. mace(159) is the nearest canon analog but is a metal-headed flail, not a wooden club — recorded as style/proportion reference only."
banked items (4002-4004),4002;4003;4004,,no-match,No game_key/display_name assigned to these three banked items (manifest notes: 'reserved — not currently used by any game_key') — there is no identified concept to search canon against. Not audited further.
Anvil,5001,,no-match,"Searched workshop/storage clusters (250-340, 590-620) and forge-adjacent ranges. No canon anvil tile exists in the swept library."
Armor Stand,5002,,no-match,"Searched armory-adjacent ranges near weapon_rack (323,324). No canon armor-stand (torso-shaped stand) tile exists."
Bucket,5005,270;271,substitute,"Canon 270/271 (unused, adjacent to already-wired barrel=268/269) are clean wooden buckets with metal band — same object, same function, better condition than the current generated art. Lint PASS (5 colors). Using 270."
Drain,5010,,no-match,"Searched sewer/floor-decal ranges near grate(5014, already conformant) and the floor texture clusters (190-199, 700-712). No separate canon drain-hole decal found."
Forge,5011,,no-match,"Searched workshop cluster (590-620) and light/hearth range (370-440, incl. fireplace=97, brazier=434). Fireplace/brazier are hearths, not blacksmith forges — different object, not a function match."
Globe,5012,380;381;382;383;384;385,reference-only,"Searched decor/library range (370-440, incl. urns 380-385). No celestial-globe-on-stand tile exists; urns recorded as a loose material/decor-clutter reference only."
table (single variant),5053,,no-match,"table's 3 sibling variants (5052/5054/5055) already landed via burn-down 1's own-art pipeline; canon substitution here would mean introducing an unrelated design for one of four variants, which is out of scope for Task 1 (canon library only, not reuse of sibling generated variants). Searched for a separate single-tile canon table near the 600-607 counter/alchemy_table cluster — those are multi-tile bar-counter tops, wrong shape/footprint, not a substitute."
desk,5062;5063,600;601;602;603;604,reference-only,"Nearest canon furniture is the 600-604 counter cluster (flat wood-plank counter top, no drawers) — recorded as a material/color reference only, not a shape match for a writing desk."
mural_wood_cool,5070,,no-match,"Searched wall-decor range (1530-1570, incl. banner=1545-1550). Banners are heraldic flags/crests, not painted landscape murals — different object, not a function match."
mural_gold_warm,5071;5074,,no-match,Same search as mural_wood_cool — no canon painted-mural tile exists.
mural_gold_landscape,5075;5076,,no-match,Same search as mural_wood_cool — no canon painted-mural tile exists.
candelabra,5080;5081,380;381;382;383;384;385,reference-only,"Searched light/decor range (370-440). No canon multi-candle iron candelabra; single candle(99) and brazier(434) are both single-flame, not the branching candelabra shape. Urns (380-385) recorded as a loose decor-clutter reference only."
workbench,5082;5083,600;601;602;603;604,reference-only,"Same 600-604 counter cluster considered for desk applies here too — flat counter top, no tool/vice details a workbench needs. Reference only."
water_barrel,5084;5085,268;269,reference-only,"Canon barrel/barrel_open (268/269, already wired) are sealed barrels with no visible water — the concept specifically needs a barrel showing water content, which canon doesn't have. 268/269 recorded as a wood-grain/banding color reference only."
training_dummy,5088,,no-match,No canon training-dummy/scarecrow tile found; searched armory-adjacent ranges. This is a specific game object with no generic-dungeon-tileset analog.
tool_rack,5089;5090,323;324,reference-only,"weapon_rack (323,324, already wired) is the closest canon analog — same wall-mounted rack function, different contents (weapons vs. tools). Recorded as a style reference only, not swapped in (would misrepresent the prop as a weapon rack)."
pillar,5094;5095,218;219,reference-only,"stalagmite (218,219, already wired under a different name) is the only canon stone-column-adjacent shape, and it's a pointed natural formation, not a built architectural pillar — different silhouette and already claims its own concept name. No separate canon column tile found in the grand-hall range (300-500)."
shelf_bottles,5099;5100;5101,317;318,reference-only,"bookshelf (317,318, already wired) is the closest canon analog — same wall shelf furniture, holds books not bottles. Recorded as a wood-tone reference only."
rock,5104;5105,218;219;220,reference-only,"Checked stalagmite (218,219 — pointed cone, wrong silhouette, already a different named concept), small pebble cluster (220 — wrong scale), and rounded dirt-blob shapes (226,227 — wrong material, reads as mud not stone). No canon tile matches 'a large loose stone' at the right scale/material."
mushroom_cluster,5108;5109,,no-match,"glowing_mushroom (5067-5069, already conformant) is a distinct bioluminescent variant of the same broader concept, not canon. Surveyed the nature/organic ranges; no plain (non-glowing) canon mushroom-cluster tile found."
chest_closed,5111,261,substitute,"Canon 261 (unused, adjacent to already-wired chest_closed=328 and crate=327) is a clean closed gold-trimmed chest — same object/function as the interactive chest_closed state. Lint PASS (5 colors)."
chest_open,5112,262,substitute,Canon 262 (same cluster) is an open chest with visible gold coins — matches chest_open's 'open chest with gold' spec exactly. Lint PASS (6 colors).
chest_empty,5113,264,substitute,"Canon 264 (same cluster) is an open chest with a dark, empty interior — matches chest_empty's 'empty/looted chest' spec exactly. Lint PASS (5 colors)."
chest_trapped,5114,263,substitute,"Canon 263 (same cluster) is an open chest revealing interior spikes — communicates 'trap' as clearly as the current skull-motif design, same function. Lint PASS (7 colors)."
