file,off_palette_colors,colors_before,colors_after,partial_alpha_pixels,dimensions_changed,mean_snap_distance
anvil.png,0,10,10,0,False,7.869
armor_stand.png,0,7,7,0,False,7.351
bed.png,0,11,11,0,False,8.667
bench.png,0,5,5,0,False,5.151
bucket.png,0,7,7,0,False,6.244
cage.png,0,6,6,0,False,6.614
candelabra.png,0,9,9,0,False,9.664
cave_room_preview.png,0,66,33,0,False,2.716
chain.png,0,4,4,0,False,6.813
coal_pile.png,0,5,5,0,False,5.059
desk.png,0,8,8,0,False,6.477
drain.png,0,5,5,0,False,7.505
forge.png,0,9,9,0,False,7.913
forge_room_preview.png,0,65,31,0,False,2.735
globe.png,0,9,9,0,False,9.366
glowing_mushroom.png,0,8,8,0,False,7.685
grate.png,0,5,5,0,False,6.214
iron_bars.png,0,6,6,0,False,6.513
key.png,0,6,6,0,False,4.559
moss_patch.png,0,5,5,0,False,10.075
mural_gold_landscape.png,0,14,14,0,False,6.874
mural_gold_warm.png,0,13,12,0,False,8.523
mural_wood_cool.png,0,11,11,0,False,8.114
mushroom_cluster.png,0,6,6,0,False,6.534
nightstand.png,0,6,6,0,False,5.402
pillar.png,0,7,7,0,False,5.703
pipe_horizontal.png,0,6,6,0,False,8.49
pipe_vertical.png,0,6,6,0,False,8.325
prop_sheet_preview.png,0,250,104,0,False,7.107
puddle.png,0,5,5,0,False,20.342
rock.png,0,6,6,0,False,5.682
rubble.png,0,7,7,0,False,4.875
sack.png,0,6,6,0,False,5.961
shelf.png,0,9,9,0,False,5.894
shelf_bottles.png,0,11,11,0,False,6.176
signpost_plain.png,0,6,6,0,False,6.355
stalagmite.png,0,6,6,0,False,5.541
straw_pile.png,0,5,5,0,False,8.559
tool_rack.png,0,9,9,0,False,5.652
training_dummy.png,0,6,6,0,False,5.928
vine.png,0,5,5,0,False,7.956
water_barrel.png,0,8,8,0,False,10.088
workbench.png,0,8,8,0,False,6.018
